filename,ALYac,AVG,Acronis,Ad-Aware,AhnLab-V3,Antiy-AVL,Arcabit,Avast,Avira,Baidu,BitDefender,BitDefenderTheta,Bkav,CAT-QuickHeal,CMC,ClamAV,Comodo,Cylance,Cynet,Cyren,DrWeb,ESET-NOD32,Emsisoft,F-Secure,FireEye,Fortinet,GData,Gridinsoft,Ikarus,Jiangmin,K7AntiVirus,K7GW,Kaspersky,Kingsoft,Lionic,MAX,Malwarebytes,MaxSecure,McAfee,McAfee-GW-Edition,MicroWorld-eScan,Microsoft,NANO-Antivirus,Panda,Rising,SUPERAntiSpyware,Sangfor,SentinelOne,Sophos,Symantec,TACHYON,Tencent,TrendMicro,TrendMicro-HouseCall,VBA32,VIPRE,ViRobot,Yandex,Zillya,ZoneAlarm,Zoner
VirusShare_1250f28aa79aa450df6e7ec24a567b7c.json,,PDF:PhishingX-gen [Phish],,,,Trojan/Generic.ASMalwRG.151,,PDF:PhishingX-gen [Phish],HTML/Malicious.PDF.Gen2,,,,,PDF.Phishing.43927,,,,,Malicious (score: 99),PDF/Phish.U.gen!Camelot,PDF.Phisher.197,PDF/Phishing.Agent.NDP,,,,PDF/Phishing.4BCA!tr,PDF.Trojan-Stealer.Phishing.E,,Trojan.PDF.Phishing,,,,,,,,,,PDF/Phish-FAB!1250F28AA79A,,,Trojan:Script/Wacatac.B!ml,,,Trojan.Phishing/PDF!1.D56E (CLASSIC),,,Static AI - Suspicious PDF,,,,,,,,,,,,,
VirusShare_12569e46a0ec731a2ed060cdc3689f25.json,,PDF:PhishingX-gen [Phish],,,,Trojan/Generic.ASMalwRG.150,,PDF:PhishingX-gen [Phish],HTML/Malicious.PDF.Gen2,,,,,PDF.Phishing.43742,,,,,Malicious (score: 99),PDF/Gerphish.N.gen!Camelot,PDF.Phisher.300,PDF/Phishing.Agent.NDP,,,,PDF/Phishing.4BCA!tr,PDF.Trojan-Stealer.Phishing.E,,Trojan.PDF.Phishing,,,,,,,,,,PDF/Phish-FOH!12569E46A0EC,BehavesLike.PDF.Suspicious.mb,,Trojan:Script/Wacatac.B!ml,,,Trojan.Phishing!1.D9C3 (CLASSIC),,,,,,,,,,,,,,,,
VirusShare_1259eeb549e72e7b0ac3d72c962ee1f8.json,,PDF:PhishingX-gen [Phish],,,,Trojan/Generic.ASMalwRG.150,,PDF:PhishingX-gen [Phish],HTML/Malicious.PDF.Gen2,,,,,PDF.Phishing.43742,,,,,Malicious (score: 99),PDF/Gerphish.N.gen!Camelot,,PDF/Phishing.Agent.NDP,,,,PDF/Phishing.4BCA!tr,PDF.Trojan-Stealer.Phishing.E,,Trojan.PDF.Phishing,,,,,,,,,Trojan.WIN32.stealer.phishing.e,PDF/Phish-FOH!1259EEB549E7,BehavesLike.PDF.Suspicious.db,,,,,Trojan.Phishing/PDF!1.D56E (CLASSIC),,,,,,,,,,,,,,,,
VirusShare_125b034dfa2ac90e764e79b50a884c98.json,,PDF:PhishingX-gen [Phish],,,,Trojan/Generic.ASMalwRG.151,,PDF:PhishingX-gen [Phish],HTML/Malicious.PDF.Gen2,,,,,PDF.Phishing.44565,,,,,Malicious (score: 99),PDF/Phish.U.gen!Camelot,PDF.Phisher.300,PDF/Phishing.Agent.NDP,,,,PDF/Phishing.4BCA!tr,PDF.Trojan-Stealer.Phishing.E,,Trojan.PDF.Phishing,,,,,,,,,,PDF/Phish-FOF!125B034DFA2A,BehavesLike.PDF.Suspicious.mb,,,,,Trojan.Phishing/PDF!1.D56E (CLASSIC),,,,,,,,,,,,,,,,
VirusShare_125fbb92bf3889a753f6d9a06abb631e.json,,,,,,Trojan/Generic.ASMalwRG.150,,,,,,,,PDF.Phishing.43742,,,,,,PDF/Gerphish.N.gen!Camelot,PDF.Phisher.300,,,,,PDF/Phishing.818B!tr,PDF.Trojan-Stealer.Phishing.E,,Trojan.PDF.Phishing,,,,,,,,,,PDF/Phish-FOH!125FBB92BF38,BehavesLike.PDF.Suspicious.kb,,,,,Trojan.Phishing/PDF!1.D8B8 (CLASSIC),,,,,,,,,,,,,,,,
VirusShare_1261ecd77732661811d3fb20f7885b2d.json,,PDF:PhishingX-gen [Phish],,,,Trojan/Generic.ASMalwRG.151,,PDF:PhishingX-gen [Phish],HTML/Malicious.PDF.Gen2,,,,,PDF.Phishing.44370,,,,,Malicious (score: 99),PDF/Phish.U.gen!Camelot,PDF.Phisher.300,PDF/Phishing.Agent.NDP,,,,PDF/Phishing.4BCA!tr,PDF.Trojan-Stealer.Phishing.E,,Trojan.PDF.Phishing,,,,HEUR:Trojan.PDF.Alien.gen,,,,,Trojan.WIN32.pdf.stealer.phishing.e,PDF/Phish-FOF!1261ECD77732,BehavesLike.PDF.Suspicious.mb,,,,,Trojan.Phishing!1.D9C3 (CLASSIC),,,,,,,,,,,,,,,HEUR:Trojan.PDF.Alien.gen,
VirusShare_126269f705933e0ba0a86cb1e00c33b1.json,,PDF:PhishingX-gen [Phish],,,,Trojan/Generic.ASMalwRG.151,,PDF:PhishingX-gen [Phish],HTML/Malicious.PDF.Gen2,,,,,PDF.Phishing.44412,,,,,Malicious (score: 99),PDF/Phish.U.gen!Camelot,PDF.Phisher.300,PDF/Phishing.Agent.NDP,,,,PDF/Phishing.818B!tr,PDF.Trojan-Stealer.Phishing.E,,Trojan.PDF.Phishing,,,,HEUR:Trojan.PDF.Alien.gen,,,,,,PDF/Phish-FOH!126269F70593,BehavesLike.PDF.Suspicious.lb,,,,,Trojan.Phishing/PDF!1.D8B8 (CLASSIC),,,,,,,,,,,,,,,,
VirusShare_12639e654f5d89c4547cec4bcb24b523.json,,PDF:PhishingX-gen [Phish],,,,Trojan/Generic.ASMalwRG.150,,PDF:PhishingX-gen [Phish],HTML/Malicious.PDF.Gen2,,,,,PDF.Phishing.43927,,,,,Malicious (score: 99),PDF/Gerphish.N.gen!Camelot,PDF.Phisher.300,PDF/Phishing.Agent.NDP,,,,PDF/Phishing.4BCA!tr,PDF.Trojan-Stealer.Phishing.E,,Trojan.PDF.Phishing,,,,,,,,,Trojan.W32.stealer.phishing.e,PDF/Phish-FOF!12639E654F5D,BehavesLike.PDF.Suspicious.nb,,Trojan:Script/Wacatac.B!ml,,,Trojan.Phishing/PDF!1.D56E (CLASSIC),,,,,,,,,,,,,,,,
VirusShare_12645cf102b37cb36c863b3b940dd29c.json,,PDF:PhishingX-gen [Phish],,,,Trojan/Generic.ASMalwRG.150,,PDF:PhishingX-gen [Phish],HTML/Malicious.PDF.Gen2,,,,,,,,,,Malicious (score: 99),PDF/Gerphish.N.gen!Camelot,PDF.Phisher.300,PDF/Phishing.Agent.NDP,,,,PDF/Phishing.818B!tr,PDF.Trojan-Stealer.Phishing.E,,Trojan.PDF.Phishing,,,,,,,,,,PDF/Phish-FOH!12645CF102B3,BehavesLike.PDF.Suspicious.mb,,,,,Trojan.Phishing/PDF!1.D8B8 (CLASSIC),,,,,,,,,,,,,,,,
VirusShare_1267e2bb33fb2be4a67a1869db18c759.json,,PDF:PhishingX-gen [Phish],,,,Trojan[Phishing]/PDF.Agent,,PDF:PhishingX-gen [Phish],HTML/Malicious.PDF.Gen2,,,,,PDF.Phishing.43927,,,,,Malicious (score: 99),PDF/Gerphish.N.gen!Camelot,,PDF/Phishing.Agent.NDP,,,,PDF/Phishing.4BCA!tr,PDF.Trojan-Stealer.Phishing.E,,Trojan.PDF.Phishing,,,,,,,,,,PDF/Phish-FOH!1267E2BB33FB,BehavesLike.PDF.Suspicious.cb,,,,,Trojan.Phishing/PDF!1.D56E (CLASSIC),,,,,,,,,,,,,,,,
VirusShare_126883f7340a005182684d0ce3e47cdc.json,,PDF:PhishingX-gen [Phish],,,,Trojan/Generic.ASMalwRG.150,,PDF:PhishingX-gen [Phish],HTML/Malicious.PDF.Gen2,,,,,PDF.Phishing.43742,,,,,Malicious (score: 99),PDF/Gerphish.N.gen!Camelot,,PDF/Phishing.Agent.NDP,,,,PDF/Phishing.4BCA!tr,PDF.Trojan-Stealer.Phishing.E,,Trojan.PDF.Phishing,,,,,,,,,,PDF/Phish-FOH!126883F7340A,BehavesLike.PDF.Suspicious.cb,,,,,Trojan.Phishing/PDF!1.D56E (CLASSIC),,,,,,,,,,,,,,,,
VirusShare_126b6ea8fe7a2c37b82f4e3d02f9bf84.json,,PDF:PhishingX-gen [Phish],,,,Trojan/Generic.ASMalwRG.150,,PDF:PhishingX-gen [Phish],HTML/Malicious.PDF.Gen2,,,,,,,,,,Malicious (score: 99),PDF/Gerphish.N.gen!Camelot,PDF.Phisher.300,PDF/Phishing.Agent.NDP,,,,PDF/Phishing.4BCA!tr,PDF.Trojan-Stealer.Phishing.E,,Trojan.PDF.Phishing,,,,,,,,,,PDF/Phish-FOH!126B6EA8FE7A,BehavesLike.PDF.Suspicious.kb,,,,,Trojan.Phishing!1.D9C3 (CLASSIC),,,,,,,,,,,,,,,,
VirusShare_126c0050fe1cd0f6055d7c7e617be75d.json,,PDF:PhishingX-gen [Phish],,,,Trojan/Generic.ASMalwRG.151,,PDF:PhishingX-gen [Phish],HTML/Malicious.PDF.Gen2,,,,,PDF.Phishing.44567,,,,,Malicious (score: 99),PDF/Phish.U.gen!Camelot,PDF.Phisher.300,PDF/Phishing.Agent.NDP,,,,PDF/Phishing.4BCA!tr,PDF.Trojan-Stealer.Phishing.E,,Trojan.PDF.Phishing,,,,,,,,,,PDF/Phish-FOH!126C0050FE1C,BehavesLike.PDF.Suspicious.mb,,,,,Trojan.Phishing!1.D9C3 (CLASSIC),,,,,,,,,,,,,,,,
VirusShare_126ff8dd8d9ad16c6d2c4abd925e2ad6.json,,PDF:PhishingX-gen [Phish],,,,Trojan/Generic.ASMalwRG.150,,PDF:PhishingX-gen [Phish],HTML/Malicious.PDF.Gen2,,,,,,,,,,Malicious (score: 99),PDF/Gerphish.N.gen!Camelot,PDF.Phisher.300,PDF/Phishing.Agent.NDP,,,,PDF/Phishing.4BCA!tr,PDF.Trojan-Stealer.Phishing.E,,Trojan.PDF.Phishing,,,,HEUR:Trojan.PDF.Alien.gen,,,,,,PDF/Phish-FOF!126FF8DD8D9A,BehavesLike.PDF.Suspicious.mb,,,,,Trojan.Phishing!1.D9C3 (CLASSIC),,,,,,,,,,,,,,,,
VirusShare_127248b9c6792e78ca3248147dbe6def.json,,PDF:PhishingX-gen [Phish],,,,Trojan/Generic.ASMalwRG.150,,PDF:PhishingX-gen [Phish],HTML/Malicious.PDF.Gen2,,,,,PDF.Phishing.43927,,,,,Malicious (score: 99),PDF/Gerphish.N.gen!Camelot,PDF.Phisher.300,PDF/Phishing.Agent.NDP,,,,PDF/Phishing.818B!tr,PDF.Trojan-Stealer.Phishing.E,,Trojan.PDF.Phishing,,,,,,,,,,PDF/Phish-FOH!127248B9C679,BehavesLike.PDF.Suspicious.lb,,,,,Trojan.Phishing/PDF!1.D8B8 (CLASSIC),,,,,,,,,,,,,,,,
VirusShare_1277c9df34072438a73399c1a25885cf.json,,PDF:PhishingX-gen [Phish],,,,Trojan/Generic.ASMalwRG.151,,PDF:PhishingX-gen [Phish],HTML/Malicious.PDF.Gen2,,,,,,,,,,Malicious (score: 99),PDF/Phish.U.gen!Camelot,PDF.Phisher.300,PDF/Phishing.Agent.NDP,,,,PDF/Phishing.818B!tr,PDF.Trojan-Stealer.Phishing.E,,Trojan.PDF.Phishing,,,,,,,,,,PDF/Phish-FOH!1277C9DF3407,BehavesLike.PDF.Suspicious.mb,,,,,Trojan.Phishing/PDF!1.D8B8 (CLASSIC),,,,,Trojan.Gen.NPE,,,,,,,,,,,
VirusShare_127f370bb0c6e5b6faeaaa32d5465553.json,,PDF:PhishingX-gen [Phish],,,,Trojan/Generic.ASMalwRG.150,,PDF:PhishingX-gen [Phish],HTML/Malicious.PDF.Gen2,,,,,PDF.Phishing.43927,,,,,Malicious (score: 99),PDF/Gerphish.N.gen!Camelot,PDF.Phisher.300,PDF/Phishing.Agent.NDP,,,,PDF/Phishing.4BCA!tr,PDF.Trojan-Stealer.Phishing.E,,Trojan.PDF.Phishing,,,,,,,,,,PDF/Phish-FOH!127F370BB0C6,BehavesLike.PDF.Suspicious.mb,,,,,Trojan.Phishing!1.D9C3 (CLASSIC),,,,,,,,,,,,,,,,
